Lodwar,Month,Year
0,Apr,2014
0,Apr,2014
8.5,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
0,Apr,2014
,Apr,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0.3,May,2014
0.4,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,May,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
0,Jun,2014
,Jun,2014
0,Jul,2014
0.2,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
24.8,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Jul,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
6.3,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0,Aug,2014
0.01,Aug,2014
0,Sep,2014
30.2,Sep,2014
0.01,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
0,Sep,2014
,Sep,2014
0,Oct,2014
1.4,Oct,2014
1.5,Oct,2014
0,Oct,2014
3,Oct,2014
0,Oct,2014
0,Oct,2014
0,Oct,2014
0,Oct,2014
0,Oct,2014
