2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
5,0.9,2.3,2.7,0,0,28.3,0,0,0.6,5.7,1.8,0.6,2.8
0,0,2.3,0,0,0,0,0,6.8,0.01,0,0,10.1,2.6
0,0,15.5,0,3,0,1.2,0,14.1,0.4,0,3.6,8.2,0
3.1,0,1,0.01,16,0,11.4,0,0,0,0,16.6,0,12.6
2.1,0,6.3,0,2.5,0,2.3,3.3,0,0,0,2.8,0.5,0
1.8,0,1.8,7,0.5,0,0,0.3,0,0,1.4,0,0,0
6.8,0,0,5,1.1,0,0,0,2.3,0,0.2,0,0,0
0.4,9.6,4.6,0.01,0.01,0.7,0,0,2.8,0,0,0,0.01,4.6
8.5,0,2.6,0,0,6.4,1.2,0,0.1,0,0,0.7,0,0
0,16.5,0.9,0,0.01,0,0,1.3,4,0,0,5.4,0,2.1
0.5,0,1.9,0,0,0,2.3,1,0,0,0,4.6,0,10.1
1.5,0,0.2,0,0,0.01,0,3.7,0,0,0.01,0.01,0,3
0,0,0.2,0,0.6,0,0,11.5,0.01,0,0,2.3,0,0
0,0.01,0,1.5,0,0.01,2.3,0,0,0,0,11.1,0.01,1.2
0,0,0,0.7,4.8,8.7,12.1,4.2,0,0,0,2.5,8.7,0.01
4.5,0,0,0,0,6.6,1.8,1.1,0.49,0,0,0,1.4,0
0,0.7,0,8.2,1,0,1.8,0,0.14,12.3,0,0,0,0
0,0.7,0,5.5,0,0,0,3.8,0,0.01,5.5,0,0,20.3
0,0,0.3,2.4,0,0,0,1.1,0.03,0,0,0,0,0.6
0.01,0,0,0.01,0.8,0.6,0.3,0.2,0,3.7,0,0,0,0.01
0,33.3,0,1,0,0.01,1.9,1.1,0,0,0.4,0,0.2,0.2
0,7.6,4.4,4.9,4.8,0,4.5,0,0,0,2.6,0,0,0
0,0,2,0.01,0,0,0,0,0,0.3,1.9,4.2,0,0
0,0,7.4,0,1.5,0,0,0,0.07,0.5,0.01,0,0.01,0
0,0,6,0,1.8,0,0,4.5,0,0.01,1.9,0,2.5,0
0,0.3,0,0,0,0.8,0,1.3,0.1,1.4,0,0,0.1,0
0,0.3,0,0,0,0,0.01,0,0,2,0,1.5,0.5,16.1
0,0.5,0,0,1.7,7.1,0,0,0,0.01,0,0.6,0.01,7.8
0,0.4,1.1,0,0,6.8,0,0,0,0.01,0,0,1.8,0.01
0,0.01,1.8,2.5,1.5,1.4,0,0,0.07,0,0,0,2.1,4
0,2,1.5,0.7,0,0.6,0,0,0,0,0,0,0.4,11.7
0.8,0,0,0.8,0,0.4,0,0,0,0,0,0,0,0
